DATE,AvgTone
20230515,-1.503588880883804
20230516,-1.6316562341637073
20230517,-1.6135444093320543
20230518,-1.6292381220088006
20230519,-1.573678548692589
20230520,-1.5378711751268503
20230521,-1.3850919338202425
20230522,-1.4206982006946332
20230523,-1.5859632973403084
20230524,-1.6676322478264172
20230524,-1.6676322478264172
20230525,-1.663418907598708
20230526,-1.7345692954642318
20230527,-1.6379516395252718
20230528,-1.5140226904003224
20230529,-1.483636916814773
20230530,-1.6511578861030574
20230531,-1.7387817806755559
20230601,-1.5292889439826403
20230602,-1.5409277864820656
20230603,-1.7607365710988163
20230604,-1.6464254763871853
20230605,-1.6055407498277605
20230606,-1.7170716188500081
20230607,-1.6325347506850134
20230608,-1.624554106306337
20230608,-1.624554106306337
20230609,-1.786668356094472
20230610,-1.878635330800429
20230611,-1.6750808822479737
20230612,-1.5222147597409978
20230613,-1.6787629857418584
20230614,-1.731952056525844
20230615,-1.8136810723846422
20230616,-1.6108790256456809
20230617,-1.6734911295294463
20230618,-1.66424512401988
20230619,-1.4417703477168893
20230620,-1.6207904219547646
20230621,-1.561531300956787
20230622,-1.463271933132874
20230623,-1.634263112389534
20230623,-1.634263112389534
20230624,-2.0814222025600095
20230625,-2.0210136685989206
20230626,-1.7702541367725522
20230627,-1.7503030380444649
20230628,-1.6097232181862147
20230629,-1.5792634226656999
20230630,-1.6132896200418423
20230701,-1.704848111259994
20230702,-1.7376966125423976
20230703,-1.7191164466363273
20230704,-1.893677955949527
20230705,-1.7807196926935
20230706,-1.8352121211948136
20230707,-1.863540220487611
20230708,-1.8920731378822648
20230708,-1.8920731378822648
20230709,-1.8199837995654147
20230710,-1.587948966208617
20230711,-1.7337605093500834
20230712,-1.4910457331269313
20230713,-1.6714943413574175
20230714,-1.815126065305638
20230715,-1.7304427707000734
20230716,-1.6040550697309925
20230717,-1.5939538766477812
20230718,-1.724269445491729
20230719,-1.8516988979733429
20230720,-1.468880742320762
20230721,-1.8950484640504388
20230722,-2.031843682518235
20230723,-1.7770338897994093
20230723,-1.7770338897994093
20230724,-1.737314386869865
20230725,-1.811695811042508
20230726,-1.8210594809244227
20230727,-1.738437673676261
20230728,-1.6364674764113254
20230729,-1.7066622043243436
20230730,-1.770856717640965
20230731,-1.8934519280098814
20230801,-1.9112734235880082
20230802,-2.0935121550186375
20230803,-1.975347113631605
20230804,-2.049735425548985
20230805,-2.0713811121214643
20230806,-2.1272044723399812
20230807,-1.9335148748892623
20230807,-1.9335148748892623
20230808,-1.8680608497509135
20230809,-1.8451843280704083
20230810,-2.006847101422071
20230811,-1.9767952307597243
20230812,-1.9824455745366272
20230813,-1.9054873160143242
20230814,-1.7804686775370357
20230815,-2.100211875088929
20230816,-1.9066394292131943
20230817,-1.8017999609911657
20230818,-1.9701407014016734
20230819,-2.0994664900872904
20230820,-1.8608739801663627
20230821,-1.6857232315816888
20230822,-1.7434228899189401
20230822,-1.7434228899189401
20230823,-1.7677620021990146
20230824,-1.8418972182367128
20230825,-1.88262685004923
20230826,-1.9587365891577142
20230827,-1.8331961355633637
20230828,-1.7986214275326982
20230829,-1.8665890281268536
20230830,-1.8838448461870425
20230831,-1.8433888905831421
20230901,-1.763506328841695
20230902,-1.7993750999641003
20230903,-1.7265048674506103
20230904,-1.5023091680961107
20230905,-1.5034963252807303
20230906,-1.5840060171463866
20230906,-1.5840060171463866
20230907,-1.5297221521001643
20230908,-1.4199584926511963
20230909,-1.4538649551763216
20230910,-1.3624694189934183
20230911,-1.3690385381490138
20230912,-1.5142823282852576
20230913,-1.613832437584336
20230914,-1.649418115473713
20230915,-1.6574770016774494
20230916,-1.623818720615738
20230917,-1.4397334977627105
20230918,-1.4307038457481496
20230919,-1.9063111012778942
20230920,-1.8465503343773548
20230921,-1.671101715056221
20230921,-1.671101715056221
20230922,-1.5211606179344346
20230923,-1.684027566062106
20230924,-1.6107498616878644
20230925,-1.5779676096347497
20230926,-1.6265365092745254
20230927,-1.645660295899803
20230928,-1.7393817883785332
20230929,-1.894427097235353
20230930,-1.8827996966147087
20231001,-1.5965055394749752
20231002,-1.4996999789204226
20231003,-1.7195667363763156
20231004,-1.7727019883258897
20231005,-1.8926275729763726
20231006,-1.8288009934048464
20231006,-1.8288009934048464
20231007,-2.75504213451866
20231008,-2.886082432886675
20231009,-2.5543786207548975
20231010,-2.4609633688787036
20231011,-2.3197297058167394
20231012,-2.354500347123142
20231013,-2.532433460279727
20231014,-2.595147891750809
20231015,-2.5678389384084794
20231016,-2.349684046798843
20231017,-2.309470553133685
20231018,-2.76760759028734
20231019,-2.4545345133466956
20231020,-2.256618974502932
20231021,-2.1798552911133107
20231021,-2.1798552911133107
20231022,-2.345634498268719
20231023,-2.1981122875475374
20231024,-2.1154113652823163
20231025,-2.144488886892507
20231026,-2.143380456074838
20231027,-2.227480310949558
20231028,-2.350711302457115
20231029,-2.3465623999234038
20231030,-2.23282693659175
20231031,-2.2978551598427024
20231101,-2.183155740697301
20231102,-2.067349008195082
20231103,-2.124925173161636
20231104,-2.3259064861817524
20231105,-2.396021592522842
20231105,-2.396021592522842
20231106,-2.1345849047653718
20231107,-2.115411386483907
20231108,-1.8727978122626137
20231109,-2.0019562800817075
20231110,-1.8570591797512572
20231111,-2.0691699246533504
20231112,-2.2879097890649245
20231113,-1.8583810172081165
20231114,-1.882449831174511
20231115,-2.0030517822379728
20231116,-2.021506085413028
20231117,-2.034482948729163
20231118,-2.099635094727899
20231119,-2.0834113730868116
20231120,-1.796578774567652
20231120,-1.796578774567652
20231121,-1.881418038943347
20231122,-1.7917304506841227
20231123,-1.8410115285494664
20231124,-1.8217084189405608
20231125,-2.189275189720964
20231126,-2.27359889469664
20231127,-1.9728872520866416
20231128,-1.8215043657209382
20231129,-1.8593077595039298
20231130,-1.9903828080097306
20231201,-2.0289022697161747
20231202,-2.118809202979291
20231203,-2.338333371798665
20231204,-1.8777590946446487
20231205,-2.0167231539233526
